address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments,lat,lon
"2390 Rue Ryde, Montréal, QC",,Montréal,Lorne Centre,https://www.facebook.com/pages/Lorne-Center-Centre-Lorne/245735049451800,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4768478,-73.5629728
"240 Rue Hertel, Beloeil, QC",,Beloeil,Centre des Loisirs,https://loisirsculture.beloeil.ca/installations/batiments-municipaux-loisirs/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.5562634,-73.2169657
"240, rue Hertel, Beloeil",,Beloeil,Ville De Beloeil,https://www.yellowpages.ca/bus/Quebec/Beloeil/Ville-De-Beloeil/101307689.html,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5562634,-73.2169657
"2421 Rue de la Fontaine, Montreal, QC",,Montréal,Centre Recreatif Poupart Inc,http://www.crpoupart.qc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5306356,-73.5514351
"2421 Rue de la Fontaine, Montreal, QC",,Montréal,Centre Recreatif Poupart Inc,http://www.crpoupart.qc.ca/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.5306356,-73.5514351
"2421 Rue de la Fontaine, Montreal, QC",,Montréal,Centre Recreatif Poupart Inc,http://www.crpoupart.qc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.5306356,-73.5514351
"2437 Avenue Bourgogne, Chambly, QC",,Chambly,L'Entrade Plus,http://www.entraideplus.org/,Leisure / Community Centres,Seniors,Indoor,Public,,,,,,,,,,,,45.4440234,-73.2636431
"245 Lakeshore Dr, Pointe-Claire, QC",,Pointe-Claire,Centre Communautaire Noel-Legault,,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4300643,-73.8228491
"245 Rue Leduc, Sainte-Therese, QC",,Sainte-Thérèse,Centre D'Entraide Therese-de-Blainville,https://www.entraidetdb.org/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.6453249,-73.8354223
"2465 Rue Honore Mercier, Laval, QC",,Laval,Piscine Honore-Mercier,https://www.laval.ca/lieux/Pages/Fr/piscine-honore-mercier.aspx,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.6038153,-73.7825066
"2465 Rue Honore Mercier, Laval, QC",,Laval,Piscine Honore-Mercier,https://www.laval.ca/lieux/Pages/Fr/piscine-honore-mercier.aspx,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,45.6038153,-73.7825066
"2475 Boulevard des Entreprises, Terrebonne, QC",,Terrebonne,Centre de Soccer Multifonctionnel,http://www.complexessportifsterrebonne.com/en/centre-de-soccer-multifonctionnel.html,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,45.7183613,-73.7100827
"2475 Boulevard des Entreprises, Terrebonne, QC",,Terrebonne,Centre de Soccer Multifonctionnel,http://www.complexessportifsterrebonne.com/en/centre-de-soccer-multifonctionnel.html,Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,,45.7183613,-73.7100827
"25 Boulevard de la Cite-des-Jeunes, Vaudreuil-Dorion, QC",,Vaudreuil-Dorion,Woohoo,http://www.woohoofun.com/,Physical Recreation & Sports,Playgrounds ,Indoor,Public,,,,,,,,,,,,45.413714,-74.0265956
"25 Rue Saint Louis, Laval, QC",,Laval,Centres Communautaires St-Louis-de-Monfort,https://www.laval.ca/lieux/Pages/Fr/centre-communautaire-saint-louis-de-montfort.aspx,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5733732,-73.6930094
"25 Rue St-Louis, Laval, QC ",,Laval,Centre Communautaire St-Louis-de-Montfort,https://renaudcoursol.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5733732,-73.6930094
