Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address
https://vancouver.ca/parks-recreation-culture/mount-pleasant-community-centre.aspx,BC,Vancouver,Vancouver,Mount Pleasant Community Centre,"1 Kingsway, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/renfrew-park-community-centre.aspx,BC,Vancouver,Vancouver,Renfrew Park Community Centre,"2929 E 22nd Ave, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/renfrew-park-community-centre.aspx,BC,Vancouver,Vancouver,Renfrew Park Community Centre,"2929 E 22nd Ave, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/renfrew-park-community-centre.aspx,BC,Vancouver,Vancouver,Renfrew Park Community Centre,"2929 E 22nd Ave, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/strathcona-community-centre.aspx,BC,Vancouver,Vancouver,Strathcona Community Centre,"601 Keefer St, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/strathcona-community-centre.aspx,BC,Vancouver,Vancouver,Strathcona Community Centre,"601 Keefer St, Vancouver, BC"
https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,BC,Vancouver,Vancouver,West End Community Centre,"870 Denman St, Vancouver, BC"
https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,BC,Vancouver,Vancouver,West End Community Centre,"870 Denman St, Vancouver, BC"
https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,BC,Vancouver,Vancouver,West End Community Centre,"870 Denman St, Vancouver, BC"
https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,BC,Vancouver,Vancouver,West End Community Centre,"870 Denman St, Vancouver, BC"
http://westpointgrey.org/program-facility/,BC,Vancouver,Vancouver,West Point Grey Community Centre,"4397 W 2nd Ave, Vancouver, BC"
http://westpointgrey.org/program-facility/,BC,Vancouver,Vancouver,West Point Grey Community Centre,"4397 W 2nd Ave, Vancouver, BC"
http://westpointgrey.org/program-facility/,BC,Vancouver,Vancouver,West Point Grey Community Centre,"4397 W 2nd Ave, Vancouver, BC"
https://vancouver.ca/parks-recreation-culture/lord-byng-pool.aspx,BC,Vancouver,Vancouver,Lord Byng Pool,"3990 W 14th Ave, Vancouver, BC"
https://falsecreekcc.ca/,BC,Vancouver,Vancouver,False Creek Community Centre,"1318 Cartwright St, Vancouver, BC"
